Experiment,Metric,Rank,Median,CI - lower,CI - upper
Exp-15,Acc,4.29,99.08,98.99,99.18
Exp-15,BA,3.76,99.26,99.17,99.33999999999999
Exp-15,F1,4.11,99.22999999999999,99.16,99.3
Exp-15,F2,4.57,99.22,99.14,99.31
Exp-15,MCC,4.29,98.52,98.38,98.68
Exp-15,Sens,4.76,99.22999999999999,99.15,99.32
Exp-15,Spec,5.33,99.45,99.39,99.52
Exp-16,Acc,6.87,99.00999999999999,98.9,99.11
Exp-16,BA,6.66,99.19,99.08,99.27
Exp-16,F1,8.05,99.14,99.03,99.22
Exp-16,F2,7.37,99.16,99.06,99.24
Exp-16,MCC,7.58,98.38,98.17,98.56
Exp-16,Sens,6.11,99.2,99.08,99.33
Exp-16,Spec,7.65,99.42,99.35000000000001,99.49
Exp-17,Acc,8.23,98.97,98.75,99.16
Exp-17,BA,8.95,99.14,98.9,99.33
Exp-17,F1,8.98,99.11999999999999,98.89,99.3
Exp-17,F2,7.68,99.15,98.94,99.35000000000001
Exp-17,MCC,7.85,98.36,98.05,98.69
Exp-17,Sens,8.31,99.16,98.91,99.35000000000001
Exp-17,Spec,7.07,99.42999999999999,99.31,99.53
Exp-18,Acc,1.84,99.16,99.06,99.28
Exp-18,BA,1.66,99.32,99.24,99.41
Exp-18,F1,1.7,99.32,99.22999999999999,99.41
Exp-18,F2,1.69,99.32,99.24,99.41
Exp-18,MCC,2.06,98.66,98.48,98.86
Exp-18,Sens,1.87,99.32,99.22999999999999,99.41
Exp-18,Spec,1.7,99.53,99.47,99.59
Exp-19,Acc,15.55,98.71,98.55000000000001,98.87
Exp-19,BA,15.9,98.9,98.7,99.08
Exp-19,F1,15.81,98.9,98.72999999999999,99.06
Exp-19,F2,15.07,98.92999999999999,98.72,99.11
Exp-19,MCC,15.52,97.95,97.69,98.22
Exp-19,Sens,16.09,98.9,98.68,99.08
Exp-19,Spec,15.3,99.27,99.16,99.36
Exp-20,Acc,2.92,99.11999999999999,98.99,99.26
Exp-20,BA,3.03,99.28,99.17,99.4
Exp-20,F1,2.32,99.3,99.18,99.42
Exp-20,F2,2.2,99.31,99.19,99.42999999999999
Exp-20,MCC,2.03,98.66,98.46000000000001,98.87
Exp-20,Sens,2.28,99.31,99.2,99.42999999999999
Exp-20,Spec,2.62,99.5,99.44,99.58
