,Metric,Friedman,p-value
0,Acc,15272.949989076471,0.0
1,BA,14889.084542715598,0.0
2,F1,14470.993470169633,0.0
3,F2,14760.639385175557,0.0
4,MCC,15213.846504691977,0.0
5,Sens,14494.918817772741,0.0
6,Spec,15033.748580720132,0.0
7,Max accuracy,15885.20927810404,0.0
8,Epochs,4023.1926714046454,0.0
