,Metric,Friedman,p-value
0,Acc,3426.8087123121913,0.0
1,BA,3228.5182194408017,0.0
2,F1,2957.4023896314325,0.0
3,F2,3215.0182920667016,0.0
4,MCC,3362.9353573941917,0.0
5,Sens,2967.028374543981,0.0
6,Spec,3443.7368607774574,0.0
7,Max accuracy,3557.2096741550295,0.0
8,Epochs,1668.543888667084,0.0
